shelter_name,shelter_id,latitude,longitude,gen,bez,nuts,nuts2,bundesland
AWO Frauenhaus Iserlohn,2232,51.383210093974,7.684256826022,Märkischer Kreis,Kreis,DEA58,DEA,Nordrhein-Westfalen
AWO-Frauenhaus,2311,51.789621872871,6.145853870316,Kleve,Kreis,DEA1B,DEA,Nordrhein-Westfalen
1. Frauenhaus Köln,2140,50.933466575848,6.998637825656,Köln,Kreisfreie Stadt,DEA23,DEA,Nordrhein-Westfalen
2. Autonomes Frauenhaus Köln,2253,50.921396360676,6.995416051662,Köln,Kreisfreie Stadt,DEA23,DEA,Nordrhein-Westfalen
Frauen- und Kinderschutzhaus Krefeld,2229,51.331785882029,6.558523443055,Krefeld,Kreisfreie Stadt,DEA14,DEA,Nordrhein-Westfalen
Autonomes Frauenhaus Leverkusen,2151,51.036439483933,6.993204651605,Leverkusen,Kreisfreie Stadt,DEA24,DEA,Nordrhein-Westfalen
Frauen- und Kinderschutzhaus für den Kreis Mettmann,2111,51.255178427612,6.968892885788,Mettmann,Kreis,DEA1C,DEA,Nordrhein-Westfalen
Frauenschutzzentrum,2325,52.292865585765,8.884828610875,Minden-Lübbecke,Kreis,DEA46,DEA,Nordrhein-Westfalen
Frauen- und Kinderschutzhaus Moers,2330,51.446276386047,6.636759749098,Wesel,Kreis,DEA1F,DEA,Nordrhein-Westfalen
Autonomes Frauenhaus Rheydt,2048,51.164802443583,6.446487203488,Mönchengladbach,Kreisfreie Stadt,DEA15,DEA,Nordrhein-Westfalen
Frauenhaus Mönchengladbach,2337,51.201782299521,6.421618467145,Mönchengladbach,Kreisfreie Stadt,DEA15,DEA,Nordrhein-Westfalen
Autonomes Frauenhaus Münster,2141,51.956729697633,7.632398512595,Münster,Kreisfreie Stadt,DEA33,DEA,Nordrhein-Westfalen
Frauen- und Kinderschutzhäuser Münster,2226,51.964715367909,7.65173880509,Münster,Kreisfreie Stadt,DEA33,DEA,Nordrhein-Westfalen
Frauenhaus Oberhausen,2134,51.466433645076,6.858153386625,Oberhausen,Kreisfreie Stadt,DEA17,DEA,Nordrhein-Westfalen
Frauenhaus Olpe,2047,51.030930004953,7.855977750318,Olpe,Kreis,DEA59,DEA,Nordrhein-Westfalen
Frauenhaus Paderborn,2023,51.711630197753,8.754784819168,Paderborn,Kreis,DEA47,DEA,Nordrhein-Westfalen
Frauenhaus Recklinghausen e.V.,2380,51.562289600477,7.197057131299,Recklinghausen,Kreis,DEA36,DEA,Nordrhein-Westfalen
Frauenhaus Remscheid,2356,51.1463909,7.2148641,Rheinisch-Bergischer Kreis,Kreis,DEA2B,DEA,Nordrhein-Westfalen
Frauenhaus Rheine,2313,52.275648335048,7.43452908728,Steinfurt,Kreis,DEA37,DEA,Nordrhein-Westfalen
Frauenhaus des Rhein-Sieg-Kreises,2228,50.749009526955,7.221746527917,Rhein-Sieg-Kreis,Kreis,DEA2C,DEA,Nordrhein-Westfalen
Frauenhaus Siegen,2154,50.8759626,8.0164616,Siegen-Wittgenstein,Kreis,DEA5A,DEA,Nordrhein-Westfalen
Frauenhaus Soest,2144,51.565331935758,8.097908720838,Soest,Kreis,DEA5B,DEA,Nordrhein-Westfalen
Frauenhaus e.V. Solingen,2110,51.1238982,6.978047,Mettmann,Kreis,DEA1C,DEA,Nordrhein-Westfalen
Frauenhaus Telgte,2133,51.984441708803,7.788351593569,Warendorf,Kreis,DEA38,DEA,Nordrhein-Westfalen
Frauen- und Kinderschutzhaus Troisdorf,2130,50.813948,7.1508684,Rhein-Sieg-Kreis,Kreis,DEA2C,DEA,Nordrhein-Westfalen
Frauenhaus Unna,2233,51.55022541813,7.691389709733,Unna,Kreis,DEA5C,DEA,Nordrhein-Westfalen
Frauen- und Kinderschutzhaus Kreis Viersen,2156,51.253916413955,6.389885517278,Viersen,Kreis,DEA1E,DEA,Nordrhein-Westfalen
Frauenhaus Warendorf,2074,51.9501568,7.9840382,Warendorf,Kreis,DEA38,DEA,Nordrhein-Westfalen
Frauenhaus EN,2073,51.4438167,7.3417483,Ennepe-Ruhr-Kreis,Kreis,DEA56,DEA,Nordrhein-Westfalen
Frauen helfen Frauen e.V.,2153,51.283777950273,7.143748029476,Wuppertal,Kreisfreie Stadt,DEA1A,DEA,Nordrhein-Westfalen
Frauenhaus Düsseldorf,2419,51.2418056,6.8082556,Düsseldorf,Kreisfreie Stadt,DEA11,DEA,Nordrhein-Westfalen
Frauen- und Kinderschutzhaus,2423,51.502765616284,9.117780029782,Höxter,Kreis,DEA44,DEA,Nordrhein-Westfalen
Frauenhaus Stormarn,2343,53.674312919727,10.231099789877,Stormarn,Kreis,DEF0F,DEF,Schleswig-Holstein
Schutzwohnungen für Frauen Nordfriesland,2178,54.62104206325,8.969772242358,Nordfriesland,Kreis,DEF07,DEF,Schleswig-Holstein
Autonomes Frauenhaus Elmshorn,2049,53.7542251,9.6592636,Pinneberg,Kreis,DEF09,DEF,Schleswig-Holstein
Frauenhaus Ostholstein,2189,54.119768481237,10.631741869357,Ostholstein,Kreis,DEF08,DEF,Schleswig-Holstein
Frauenhaus Flensburg,2255,54.79485029629,9.423378659978,Flensburg,Kreisfreie Stadt,DEF01,DEF,Schleswig-Holstein
Frauenhaus Dithmarschen,2395,54.193570221951,9.100838263545,Dithmarschen,Kreis,DEF05,DEF,Schleswig-Holstein
Autonomes Frauenhaus Itzehoe,2193,53.9242344,9.5100452,Steinburg,Kreis,DEF0E,DEF,Schleswig-Holstein
Autonomes Frauenhaus Lübeck,2249,53.867549231603,10.687671111421,Lübeck,Kreisfreie Stadt,DEF03,DEF,Schleswig-Holstein
