shelter_id,title,einrichtungsart,Gehbehinderung,Hörbehinderung/Taubheit,Sehbehinderung/Blindheit,Suchtmittelabhängigkeit
2072,Frauen- und Kinderschutzhaus Pirna,Frauenhaus,False,False,False,False
2266,KARO e.V.,Frauenhaus,False,False,False,False
2298,Frauenhaus Potsdam,Frauenhaus,False,False,False,False
2034,Autonomes Frauenhaus Kreis Plön,Frauenhaus,True,False,False,False
2045,Frauen- und Kinderschutzhaus Radebeul,Frauenhaus,False,False,False,False
2258,Frauen- und Kinderschutzhaus Radolfzell,Frauenhaus,False,False,False,False
2122,Beratungs- und Krisenzentrum für Frauen,Frauenhaus,False,False,False,False
2268,Frauen- und Kinderschutzhaus Ravensburg,Frauenhaus,False,False,False,False
2380,Frauenhaus Recklinghausen e.V.,Frauenhaus,False,False,False,False
2180,Frauen- und Kinderschutzhaus,Frauenhaus,False,False,False,False
2225,Autonomes Frauenhaus Regensburg,Frauenhaus,True,False,False,False
2356,Frauenhaus Remscheid,Frauenhaus,True,False,True,False
2191,Frauenhaus Rendsburg gGmbH,Frauenhaus,True,False,False,False
2245,Frauenhaus Reutlingen,Frauenhaus,False,False,False,False
2313,Frauenhaus Rheine,Frauenhaus,False,False,False,False
2205,AWO Frauenschutzhaus Ribnitz-Damgarten,Frauenhaus,True,False,False,False
2166,Frauenhaus Rodgau,Frauenhaus,False,False,False,False
2269,Frauenhaus Rosenheim/Traunstein,Frauenhaus,False,False,False,False
2163,Autonomes Frauenhaus Rostock,Frauenhaus,False,False,False,False
2009,Frauenhaus Saarbrücken,Frauenhaus,False,False,False,False
2217,Frauenhaus Saarlouis,Frauenhaus,False,False,False,False
2128,Frauenhaus Salzgitter,Frauenhaus,False,False,False,False
2251,Frauen- und Kinderhaus Salzwedel,Frauenhaus,False,False,False,False
2058,Frauen- und Kinderschutzhaus Sangerhausen,Frauenhaus,False,False,False,False
2228,Frauenhaus des Rhein-Sieg-Kreises,Frauenhaus,False,False,False,False
2177,Frauenhaus Schwabach,Frauenhaus,True,False,False,False
2159,Frauen- und Kinderschutzeinrichtung,Frauenhaus,False,False,False,False
2176,Frauen-und Kinderschutzhaus Schwäbisch Hall,Frauenhaus,True,False,False,False
2195,Frauenhaus im Landkreis Schwandorf,Frauenhaus,False,False,False,False
2263,Frauenhaus Schwarzenbek,Frauenhaus,False,False,False,False
2079,Frauenhaus Schwedt,Frauenhaus,True,False,False,False
2054,Frauenhaus für die Region Main-Rhön in Schweinfurt,Frauenhaus,False,False,False,False
2061,Frauen in Not-Frauenhaus,Frauenhaus,True,True,True,False
2119,Frauenhaus Hochfranken,Frauenhaus,False,False,False,False
2154,Frauenhaus Siegen,Frauenhaus,False,False,False,False
2462,Frauen- und Kinderschutzhaus Sigmaringen,Frauenhaus,False,False,False,False
2237,Frauenhaus Singen,Frauenhaus,False,False,False,False
2144,Frauenhaus Soest,Frauenhaus,False,False,False,False
2110,Frauenhaus e.V. Solingen,Frauenhaus,True,False,False,False
2038,Haus &quotAva&quot Frauenhaus Sondershausen,Frauenhaus,False,False,False,False
2174,Frauenhaus Speyer,Frauenhaus,False,False,False,False
2353,AWO Frauenhaus Schaumburg,Frauenhaus,False,False,False,False
2175,Frauen- und Kinderschutzhaus Staßfurt,Frauenhaus,False,False,False,False
2028,Frauenhaus Stendal,Frauenhaus,False,False,False,False
2172,AWO Frauenschutzhaus Stralsund,Frauenhaus,False,False,False,False
2108,Frauenhaus Straubing,Frauenhaus,True,False,False,False
2078,Autonomes Frauenhaus Stuttgart,Frauenhaus,False,False,False,False
2197,Städtisches Frauenhaus Stuttgart,Frauenhaus,False,False,False,False
2133,Frauenhaus Telgte,Frauenhaus,False,False,False,False
2042,Frauenschutzwohnungen Landkreis Nordsachsen,Schutzwohnung,False,False,False,False
2137,Autonomes Frauenhaus Trier,Frauenhaus,False,False,False,False
2130,Frauen- und Kinderschutzhaus Troisdorf,Frauenhaus,True,False,False,False
2012,Autonomes Frauenhaus Tübingen,Frauenhaus,False,False,False,False
2254,Frauen-und Kinderschutzhaus Tuttlingen,Frauenhaus,False,False,False,False
2084,Frauen- und Kinderhaus e.V. Uelzen,Frauenhaus,False,False,False,False
2314,Frauenhaus Alb-Donau-Kreis,Frauenhaus,False,False,False,False
2230,Frauenhaus Ulm,Frauenhaus,False,False,False,False
2233,Frauenhaus Unna,Frauenhaus,True,False,False,False
2156,Frauen- und Kinderschutzhaus Kreis Viersen,Frauenhaus,False,False,False,False
2262,Frauen helfen Frauen Schwarzwald Baar e.V.,Frauenhaus,False,False,False,False
2170,Autonomes Frauenhaus,Frauenhaus,False,False,False,False
2206,Frauen- und Kinderschutzhaus Rems-Murr-Kreis,Frauenhaus,True,False,False,False
2222,Frauen- und Kinderschutzhaus im Hohenlohekreis,Frauenhaus,False,False,False,False
2101,Frauen- und Kinderschutzhaus Waldshut,Frauenhaus,False,False,False,False
2423,Frauen- und Kinderschutzhaus,Frauenhaus,False,False,False,False
2074,Frauenhaus Warendorf,Frauenhaus,False,False,False,False
2188,Autonomes Frauenhaus Wedel,Frauenhaus,False,False,False,False
2071,Frauenhaus Weiden,Frauenhaus,True,False,True,False
2292,Frauenhaus Weimar,Schutzwohnung,False,False,False,False
2271,Schutzwohnung im Rhein-Neckar-Kreis,Schutzwohnung,False,False,False,False
2168,Frauenhaus Weißenfels,Frauenhaus,False,False,False,False
2287,Kinder- und Frauenschutzwohnung der Stadt Wernigerode,Schutzwohnung,True,False,False,False
2208,Frauenhaus Wetzlar e.V.,Frauenhaus,False,False,False,False
2312,AWO Frauenhaus Nurdan-Eker Wiesbaden,Frauenhaus,False,False,False,False
2158,Haus für Frauen in Not Wiesbaden,Frauenhaus,False,False,False,False
2429,Frauen- und Kinderschutzhaus des Landkreises Oldenburg,Frauenhaus,False,False,False,False
2132,Frauenschutzhaus,Frauenhaus,False,False,False,False
2073,Frauenhaus EN,Frauenhaus,False,False,False,False
2306,FrauenschutzHaus Wolfenbüttel,Frauenhaus,True,False,False,False
2275,Frauen helfen Frauen e.V.,Frauenhaus,True,False,False,False
2383,Wolfsburger Frauenhaus,Frauenhaus,False,False,False,False
2282,DRK KV Eichsfeld e.V. Frauenschutzwohnung Leinefelde,Schutzwohnung,False,False,False,False
2410,Frauenhaus Worms,Frauenhaus,False,False,False,False
2153,Frauen helfen Frauen e.V.,Frauenhaus,True,False,True,False
2117,Frauenhaus SkF,Frauenhaus,True,False,False,False
2138,AWO Frauenhaus Würzburg,Frauenhaus,False,False,False,False
2338,&quotZuflucht&quot Frauen-und Kinderschutzwohnungen  Landkreis Görlitz,Schutzwohnung,False,False,False,False
2046,Frauenhaus Zollernalbkreis,Frauenhaus,False,False,False,False
2044,Frauenschutzeinrichtung Zwickau Stadt,Schutzwohnung,False,False,False,False
