shelter_name,shelter_id,latitude,longitude,timestamp,description,status,gen,bez,bundesland,einrichtungsart,Gehbehinderung,Hörbehinderung/Taubheit,Sehbehinderung/Blindheit,Suchtmittelabhängigkeit
Frauenhaus Sozialdienst katholischer Frauen e.V.,2247,50.572063246443,8.667524534963,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Gießen,Landkreis,Hessen,Frauenhaus,False,False,False,False
Frauenhaus des Caritasverbandes für Stadt und Landkreis Gifhorn,2285,52.484496766686,10.540274633294,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Gifhorn,Landkreis,Niedersachsen,Frauenhaus,False,False,False,False
Frauenhaus Gotha,2026,50.943234424969,10.717486357956,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Gotha,Landkreis,Thüringen,Frauenhaus,False,False,False,False
Frauenhaus Greifswald,2146,54.08939506011,13.379945601414,2022-12-25 08:01:00,k.A.,keine Angabe,Vorpommern-Greifswald,Landkreis,Mecklenburg-Vorpommern,Frauenhaus,False,False,False,False
Frauenhaus Hameln e.V.,2113,52.105920892881,9.364572592101,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Hameln-Pyrmont,Landkreis,Niedersachsen,Frauenhaus,True,False,False,False
Frauenhaus Hamm,2171,51.6697042432,7.831726274505,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Hamm,Kreisfreie Stadt,Nordrhein-Westfalen,Frauenhaus,False,False,False,False
Frauenhaus Hanau,2055,50.121842157395,8.93035691488,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Main-Kinzig-Kreis,Landkreis,Hessen,Frauenhaus,False,False,False,False
Frauenhaus Hannover - Frauen helfen Frauen e.V.,2013,52.377210097868,9.745326084829,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Region Hannover,Landkreis,Niedersachsen,Frauenhaus,True,False,False,False
Frauenhaus Dithmarschen,2395,54.193570221951,9.100838263545,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Dithmarschen,Kreis,Schleswig-Holstein,Frauenhaus,False,False,False,False
Frauen helfen Frauen e.V. Heidelberg,2152,49.38167105,8.677039550252,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Heidelberg,Stadtkreis,Baden-Württemberg,Frauenhaus,False,False,False,False
Frauen- und Kinderschutzhaus Heilbronn,2126,49.140048540701,9.219636925251,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Heilbronn,Stadtkreis,Baden-Württemberg,Frauenhaus,False,False,False,False
Frauenhaus Herne,2032,51.5435523,7.2176455,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Herne,Kreisfreie Stadt,Nordrhein-Westfalen,Frauenhaus,True,False,False,False
