shelter_name,shelter_id,Aufnahme möglich,keine Angabe,keine Aufnahme möglich,bundesland,kreis,latitude,longitude
Frauenhaus Hartengrube,2284,0.0018315018315018315,0.0,0.9981684981684982,Schleswig-Holstein,Kreisfreie Stadt Lübeck,53.861924849136,10.683346452091
Frauenhaus Herford,2033,0.0695970695970696,0.0,0.9304029304029304,Nordrhein-Westfalen,Kreis Herford,52.1196393,8.6637749
Frauenhaus Herne,2032,0.10805860805860806,0.0,0.891941391941392,Nordrhein-Westfalen,Kreisfreie Stadt Herne,51.5435523,7.2176455
Frauenhaus Herten,2157,0.304029304029304,0.0,0.6959706959706959,Nordrhein-Westfalen,Kreisfreie Stadt Gelsenkirchen,51.572645954604,7.131574084656
Frauenhaus Hildesheim e.V.,2194,0.30036630036630035,0.0,0.6996336996336996,Niedersachsen,Landkreis Hildesheim,52.152522919656,9.950775478638
Frauenhaus Hochfranken,2119,0.7435897435897436,0.0,0.2564102564102564,Bayern,Landkreis Wunsiedel i. Fichtelgebirge,50.162945060814,12.134807622047
Frauenhaus Idar-Oberstein,2183,0.23443223443223443,0.0,0.7655677655677655,Rheinland-Pfalz,Landkreis Birkenfeld,49.699458006547,7.321442009631
Frauenhaus Kassel,2165,0.04212454212454213,0.0,0.9578754578754579,Hessen,Kreisfreie Stadt Kassel,51.273161334306,9.466445816736
Frauenhaus Kiel,2106,0.0,0.018315018315018316,0.9816849816849816,Schleswig-Holstein,Kreisfreie Stadt Kiel,54.32269725,10.144833031145
Frauenhaus Kirchheim,2173,0.08791208791208792,0.0,0.9120879120879121,Baden-Württemberg,Landkreis Esslingen,48.645195802054,9.452899259968
Frauenhaus Koblenz,2413,0.016483516483516484,0.0,0.9761904761904762,Rheinland-Pfalz,Kreisfreie Stadt Koblenz,50.350559513859,7.592017311078
Frauenhaus Landau,2332,0.0695970695970696,0.0,0.9304029304029304,Rheinland-Pfalz,Kreisfreie Stadt Landau in der Pfalz,49.19988782812,8.113401055813
Frauenhaus Lila Villa e.V.,2409,0.06227106227106227,0.0,0.9304029304029304,Rheinland-Pfalz,Landkreis Bad Dürkheim,49.4612447,8.1705981
Frauenhaus Lippe,2238,0.23809523809523808,0.0,0.7619047619047619,Nordrhein-Westfalen,Kreis Lippe,51.938132853507,8.87196878474
Frauenhaus Ludwigsburg,2223,0.22527472527472528,0.009157509157509158,0.7655677655677655,Baden-Württemberg,Landkreis Ludwigsburg,48.905138982478,9.175657488432
Frauenhaus Ludwigshafen,2415,0.003663003663003663,0.009157509157509158,0.9798534798534798,Rheinland-Pfalz,Kreisfreie Stadt Ludwigshafen am Rhein,49.479714236326,8.449962862506
Frauenhaus Mainz,2411,0.007326007326007326,0.0,0.9853479853479854,Rheinland-Pfalz,Kreisfreie Stadt Mainz,49.986824590308,8.271431806591
Frauenhaus Mayen-Koblenz,2426,0.1684981684981685,0.0,0.76007326007326,Rheinland-Pfalz,Landkreis Mayen-Koblenz,50.325712347282,7.2284572929
Frauenhaus Mönchengladbach,2337,0.11355311355311355,0.0,0.8864468864468864,Nordrhein-Westfalen,Kreisfreie Stadt Mönchengladbach,51.201782299521,6.421618467145
Frauenhaus Neunkirchen,2010,0.2967032967032967,0.05311355311355311,0.6501831501831502,Saarland,Landkreis Neunkirchen,49.37167025,7.207534594691
Frauenhaus Neustadt,2201,0.045787545787545784,0.0,0.9542124542124543,Rheinland-Pfalz,Kreisfreie Stadt Neustadt an der Weinstraße,49.349491832835,8.141965744074
Frauenhaus Nürnberg,2147,0.15018315018315018,0.0,0.8498168498168498,Bayern,Kreisfreie Stadt Nürnberg,49.454987367495,11.078057924511
Frauenhaus Oberhausen,2134,0.0,0.0,1.0,Nordrhein-Westfalen,Kreisfreie Stadt Oberhausen,51.466433645076,6.858153386625
Frauenhaus Oberursel,2214,0.1684981684981685,0.0,0.8315018315018315,Hessen,Landkreis Hochtaunuskreis,50.203012037124,8.578525319621999
Frauenhaus Olpe,2047,0.17765567765567766,0.0,0.8223443223443223,Nordrhein-Westfalen,Kreis Olpe,51.030930004953,7.855977750318
Frauenhaus Ostholstein,2189,0.040293040293040296,0.029304029304029304,0.9304029304029304,Schleswig-Holstein,Kreis Ostholstein,54.119768481237,10.631741869357
Frauenhaus Paderborn,2023,0.10622710622710622,0.0,0.8937728937728938,Nordrhein-Westfalen,Kreis Paderborn,51.711630197753,8.754784819168
Frauenhaus Pinneberg,2264,0.005494505494505495,0.0,0.9945054945054945,Schleswig-Holstein,Kreis Pinneberg,53.651379970069,9.789546578719
Frauenhaus Pirmasens,2417,0.20146520146520147,0.0,0.782051282051282,Rheinland-Pfalz,Kreisfreie Stadt Pirmasens,49.206297144295,7.5975454991269995
Frauenhaus Recklinghausen e.V.,2380,0.038461538461538464,0.0,0.9615384615384616,Nordrhein-Westfalen,Kreis Recklinghausen,51.562289600477,7.197057131299
Frauenhaus Remscheid,2356,0.05311355311355311,0.0,0.9468864468864469,Nordrhein-Westfalen,Kreis Rheinisch-Bergischer Kreis,51.1463909,7.2148641
Frauenhaus Rendsburg gGmbH,2191,0.2893772893772894,0.01098901098901099,0.6996336996336996,Schleswig-Holstein,Kreis Rendsburg-Eckernförde,54.308288610642,9.658791079076
Frauenhaus Rhein - Erftkreis e.V.,2076,0.10989010989010989,0.0,0.8901098901098901,Nordrhein-Westfalen,Kreis Rhein-Erft-Kreis,50.8072763,6.8330117999999995
Frauenhaus Rheine,2313,0.14835164835164835,0.0,0.8516483516483516,Nordrhein-Westfalen,Kreis Steinfurt,52.275648335048,7.43452908728
Frauenhaus Rodgau,2166,0.03296703296703297,0.0,0.967032967032967,Hessen,Landkreis Offenbach,50.021737483593,8.882036802864
Frauenhaus Rosenheim/Traunstein,2269,0.47802197802197804,0.0,0.521978021978022,Bayern,Kreisfreie Stadt Rosenheim,47.8571272,12.1181047
Frauenhaus Saarbrücken,2009,0.18864468864468864,0.04212454212454213,0.7692307692307693,Saarland,Landkreis Regionalverband Saarbrücken,49.234338155586,6.986639524139
Frauenhaus Saarlouis,2217,0.2838827838827839,0.056776556776556776,0.6593406593406593,Saarland,Landkreis Saarlouis,49.319469368893,6.753084518304
Frauenhaus Schwabach,2177,0.02564102564102564,0.0,0.9743589743589743,Bayern,Kreisfreie Stadt Schwabach,49.329349195087,11.024939052197
Frauenhaus Schwarzenbek,2263,0.0,0.0,1.0,Schleswig-Holstein,Kreis Herzogtum Lauenburg,53.503650426025,10.483866451312
Frauenhaus Siegen,2154,0.07326007326007326,0.0,0.9267399267399268,Nordrhein-Westfalen,Kreis Siegen-Wittgenstein,50.8759626,8.0164616
Frauenhaus Singen,2237,0.10805860805860806,0.0,0.891941391941392,Baden-Württemberg,Landkreis Konstanz,47.762044359329,8.853405053013
Frauenhaus SkF,2117,0.0,0.0,1.0,Bayern,Kreisfreie Stadt Würzburg,49.7646014,9.9055338
Frauenhaus SkF Karlsruhe,2212,0.37362637362637363,0.023809523809523808,0.6025641025641025,Baden-Württemberg,Stadtkreis Karlsruhe,49.010942043401,8.392288331104
Frauenhaus Soest,2144,0.16117216117216118,0.0,0.8388278388278388,Nordrhein-Westfalen,Kreis Soest,51.565331935758,8.097908720838
Frauenhaus Sondershausen,2038,0.6227106227106227,0.17216117216117216,0.20512820512820512,Thüringen,Landkreis Kyffhäuserkreis,51.3700633,10.8491714
Frauenhaus Sozialdienst katholischer Frauen e.V.,2247,0.08241758241758242,0.0,0.9175824175824175,Hessen,Landkreis Gießen,50.572063246443,8.667524534963
