shelter_name,Aufnahme möglich,keine Angabe,keine Aufnahme möglich,bundesland,kreis
Frauenhaus Alsdorf,0.2,0.0,0.8,Nordrhein-Westfalen,Kreis Städteregion Aachen
Frauenhaus Arnsberg,0.1863013698630137,0.0,0.8136986301369863,Nordrhein-Westfalen,Kreis Hochsauerlandkreis
Frauenhaus Bad Hersfeld,0.0547945205479452,0.0,0.9452054794520548,Hessen,Landkreis Hersfeld-Rotenburg
Frauenhaus Bad Kreuznach,0.10136986301369863,0.0,0.8986301369863013,Rheinland-Pfalz,Landkreis Bad Kreuznach
Frauenhaus Bergisch Gladbach,0.1726027397260274,0.0,0.8273972602739726,Nordrhein-Westfalen,Kreis Rheinisch-Bergischer Kreis
Frauenhaus Bergstraße,0.06301369863013699,0.0,0.936986301369863,Hessen,Landkreis Bergstraße
Frauenhaus Bitterfeld-Wolfen,0.4383561643835616,0.0,0.5616438356164384,Sachsen-Anhalt,Landkreis Anhalt-Bitterfeld
Frauenhaus Bocholt,0.1589041095890411,0.0,0.8410958904109589,Nordrhein-Westfalen,Kreis Borken
Frauenhaus Bochum,0.1095890410958904,0.0,0.8904109589041096,Nordrhein-Westfalen,Kreisfreie Stadt Bochum
Frauenhaus Bonn - Frauen helfen Frauen e.V.,0.021917808219178082,0.0,0.9780821917808219,Nordrhein-Westfalen,Kreisfreie Stadt Bonn
Frauenhaus Coburg,0.13424657534246576,0.0,0.8657534246575342,Bayern,Kreisfreie Stadt Coburg
Frauenhaus Darmstadt,0.0684931506849315,0.0,0.9315068493150684,Hessen,Kreisfreie Stadt Darmstadt
Frauenhaus Datteln,0.25753424657534246,0.0,0.7424657534246575,Nordrhein-Westfalen,Kreis Recklinghausen
Frauenhaus Donnersbergkreis,0.07671232876712329,0.0,0.9232876712328767,Rheinland-Pfalz,Landkreis Donnersbergkreis
Frauenhaus Duisburg gGmbH,0.17534246575342466,0.0,0.8246575342465754,Nordrhein-Westfalen,Kreisfreie Stadt Duisburg
Frauenhaus Düsseldorf,0.057534246575342465,0.0,0.9123287671232877,Nordrhein-Westfalen,Kreisfreie Stadt Düsseldorf
Frauenhaus EN,0.09863013698630137,0.0,0.9013698630136986,Nordrhein-Westfalen,Kreis Ennepe-Ruhr-Kreis
Frauenhaus Erbach,0.01643835616438356,0.0,0.9835616438356164,Hessen,Landkreis Odenwaldkreis
Frauenhaus Erding,0.3315068493150685,0.0,0.6684931506849315,Bayern,Landkreis Erding
Frauenhaus Erfurt,0.06301369863013699,0.0,0.936986301369863,Thüringen,Kreisfreie Stadt Erfurt
Frauenhaus Espelkamp,0.5698630136986301,0.0,0.4301369863013699,Nordrhein-Westfalen,Kreis Minden-Lübbecke
Frauenhaus Essen,0.03287671232876712,0.0,0.9671232876712329,Nordrhein-Westfalen,Kreisfreie Stadt Essen
Frauenhaus Esslingen,0.1095890410958904,0.0,0.8904109589041096,Baden-Württemberg,Landkreis Esslingen
Frauenhaus Flensburg,0.00821917808219178,0.0,0.9917808219178083,Schleswig-Holstein,Kreisfreie Stadt Flensburg
Frauenhaus Frankenthal,0.005479452054794521,0.0,0.9945205479452055,Rheinland-Pfalz,Kreisfreie Stadt Frankenthal (Pfalz)
Frauenhaus Frankfurt (Oder),0.09041095890410959,0.0,0.9095890410958904,Brandenburg,Kreisfreie Stadt Frankfurt (Oder)
Frauenhaus Freudenstadt,0.04657534246575343,0.03287671232876712,0.9205479452054794,Baden-Württemberg,Landkreis Freudenstadt
Frauenhaus Fulda,0.00821917808219178,0.0,0.9917808219178083,Hessen,Landkreis Fulda
Frauenhaus Fürth,0.01643835616438356,0.0,0.9835616438356164,Bayern,Kreisfreie Stadt Fürth
Frauenhaus Gelsenkirchen,0.07945205479452055,0.0,0.9205479452054794,Nordrhein-Westfalen,Kreisfreie Stadt Gelsenkirchen
Frauenhaus Gotha,0.2465753424657534,0.11232876712328767,0.6410958904109589,Thüringen,Landkreis Gotha
Frauenhaus Gütersloh,0.1232876712328767,0.0,0.8767123287671232,Nordrhein-Westfalen,Kreis Gütersloh
Frauenhaus Hameln e.V.,0.19452054794520549,0.0,0.8054794520547945,Niedersachsen,Landkreis Hameln-Pyrmont
Frauenhaus Hamm,0.3013698630136986,0.0,0.6986301369863014,Nordrhein-Westfalen,Kreisfreie Stadt Hamm
Frauenhaus Hanau,0.057534246575342465,0.0,0.9424657534246575,Hessen,Landkreis Main-Kinzig-Kreis
Frauenhaus Hannover - Frauen helfen Frauen e.V.,0.038356164383561646,0.0,0.9616438356164384,Niedersachsen,Landkreis Region Hannover
Frauenhaus Hartengrube,0.0027397260273972603,0.0,0.9972602739726028,Schleswig-Holstein,Kreisfreie Stadt Lübeck
Frauenhaus Herford,0.06301369863013699,0.0,0.936986301369863,Nordrhein-Westfalen,Kreis Herford
Frauenhaus Herne,0.13150684931506848,0.0,0.8684931506849315,Nordrhein-Westfalen,Kreisfreie Stadt Herne
Frauenhaus Herten,0.27123287671232876,0.0,0.7287671232876712,Nordrhein-Westfalen,Kreisfreie Stadt Gelsenkirchen
Frauenhaus Hildesheim e.V.,0.3452054794520548,0.0,0.6547945205479452,Niedersachsen,Landkreis Hildesheim
Frauenhaus Hochfranken,0.8684931506849315,0.0,0.13150684931506848,Bayern,Landkreis Wunsiedel i. Fichtelgebirge
Frauenhaus Idar-Oberstein,0.19452054794520549,0.0,0.8054794520547945,Rheinland-Pfalz,Landkreis Birkenfeld
Frauenhaus Kassel,0.06301369863013699,0.0,0.936986301369863,Hessen,Kreisfreie Stadt Kassel
Frauenhaus Kiel,0.0,0.0273972602739726,0.9726027397260274,Schleswig-Holstein,Kreisfreie Stadt Kiel
Frauenhaus Kirchheim,0.12602739726027398,0.0,0.873972602739726,Baden-Württemberg,Landkreis Esslingen
Frauenhaus Koblenz,0.019178082191780823,0.0,0.9698630136986301,Rheinland-Pfalz,Kreisfreie Stadt Koblenz
Frauenhaus Landau,0.06575342465753424,0.0,0.9342465753424658,Rheinland-Pfalz,Kreisfreie Stadt Landau in der Pfalz
Frauenhaus Lauchhammer,0.8410958904109589,0.14520547945205478,0.0136986301369863,Brandenburg,Landkreis Oberspreewald-Lausitz
Frauenhaus Lila Villa e.V.,0.07671232876712329,0.0,0.9123287671232877,Rheinland-Pfalz,Landkreis Bad Dürkheim
Frauenhaus Lippe,0.16986301369863013,0.0,0.8301369863013699,Nordrhein-Westfalen,Kreis Lippe
Frauenhaus Ludwigsburg,0.2191780821917808,0.0,0.7808219178082192,Baden-Württemberg,Landkreis Ludwigsburg
Frauenhaus Ludwigshafen,0.005479452054794521,0.0136986301369863,0.9698630136986301,Rheinland-Pfalz,Kreisfreie Stadt Ludwigshafen am Rhein
Frauenhaus Mainz,0.005479452054794521,0.0,0.9835616438356164,Rheinland-Pfalz,Kreisfreie Stadt Mainz
Frauenhaus Mayen-Koblenz,0.15342465753424658,0.0,0.7397260273972602,Rheinland-Pfalz,Landkreis Mayen-Koblenz
Frauenhaus Mönchengladbach,0.13424657534246576,0.0,0.8657534246575342,Nordrhein-Westfalen,Kreisfreie Stadt Mönchengladbach
Frauenhaus Neunkirchen,0.3178082191780822,0.0,0.6821917808219178,Saarland,Landkreis Neunkirchen
Frauenhaus Neustadt,0.04657534246575343,0.0,0.9534246575342465,Rheinland-Pfalz,Kreisfreie Stadt Neustadt an der Weinstraße
Frauenhaus Nürnberg,0.18904109589041096,0.0,0.810958904109589,Bayern,Kreisfreie Stadt Nürnberg
Frauenhaus Oberhausen,0.0,0.0,1.0,Nordrhein-Westfalen,Kreisfreie Stadt Oberhausen
Frauenhaus Oberursel,0.16712328767123288,0.0,0.8328767123287671,Hessen,Landkreis Hochtaunuskreis
Frauenhaus Olpe,0.17534246575342466,0.0,0.8246575342465754,Nordrhein-Westfalen,Kreis Olpe
Frauenhaus Ostholstein,0.049315068493150684,0.043835616438356165,0.9068493150684932,Schleswig-Holstein,Kreis Ostholstein
Frauenhaus Paderborn,0.11506849315068493,0.0,0.8849315068493151,Nordrhein-Westfalen,Kreis Paderborn
Frauenhaus Pinneberg,0.00821917808219178,0.0,0.9917808219178083,Schleswig-Holstein,Kreis Pinneberg
Frauenhaus Pirmasens,0.2,0.0,0.7753424657534247,Rheinland-Pfalz,Kreisfreie Stadt Pirmasens
Frauenhaus Recklinghausen e.V.,0.052054794520547946,0.0,0.947945205479452,Nordrhein-Westfalen,Kreis Recklinghausen
Frauenhaus Remscheid,0.06027397260273973,0.0,0.9397260273972603,Nordrhein-Westfalen,Kreis Rheinisch-Bergischer Kreis
Frauenhaus Rendsburg gGmbH,0.2876712328767123,0.005479452054794521,0.7068493150684931,Schleswig-Holstein,Kreis Rendsburg-Eckernförde
Frauenhaus Rhein - Erftkreis e.V.,0.13424657534246576,0.0,0.8657534246575342,Nordrhein-Westfalen,Kreis Rhein-Erft-Kreis
Frauenhaus Rheine,0.1780821917808219,0.0,0.821917808219178,Nordrhein-Westfalen,Kreis Steinfurt
Frauenhaus Rodgau,0.038356164383561646,0.0,0.9616438356164384,Hessen,Landkreis Offenbach
Frauenhaus Rosenheim/Traunstein,0.6657534246575343,0.0,0.33424657534246577,Bayern,Kreisfreie Stadt Rosenheim
Frauenhaus Saarbrücken,0.1506849315068493,0.0,0.8493150684931506,Saarland,Landkreis Regionalverband Saarbrücken
Frauenhaus Saarlouis,0.2136986301369863,0.0,0.7863013698630137,Saarland,Landkreis Saarlouis
Frauenhaus Schwabach,0.0,0.0,1.0,Bayern,Kreisfreie Stadt Schwabach
Frauenhaus Schwarzenbek,0.0,0.0,1.0,Schleswig-Holstein,Kreis Herzogtum Lauenburg
Frauenhaus Siegen,0.09315068493150686,0.0,0.9068493150684932,Nordrhein-Westfalen,Kreis Siegen-Wittgenstein
Frauenhaus Singen,0.12054794520547946,0.0,0.8794520547945206,Baden-Württemberg,Landkreis Konstanz
Frauenhaus SkF,0.0,0.0,1.0,Bayern,Kreisfreie Stadt Würzburg
Frauenhaus SkF Karlsruhe,0.3917808219178082,0.005479452054794521,0.6027397260273972,Baden-Württemberg,Stadtkreis Karlsruhe
Frauenhaus Soest,0.19452054794520549,0.0,0.8054794520547945,Nordrhein-Westfalen,Kreis Soest
Frauenhaus Sondershausen,0.6958904109589041,0.136986301369863,0.16712328767123288,Thüringen,Landkreis Kyffhäuserkreis
Frauenhaus Sozialdienst katholischer Frauen e.V.,0.10684931506849316,0.0,0.8931506849315068,Hessen,Landkreis Gießen
