bundesland,monthyear,Aufnahme möglich,keine Angabe,keine Aufnahme möglich,n_shelters,n_analyzed
Brandenburg,2022-01,0.5053763440860215,0.0,0.4946236559139785,10,3.0
Brandenburg,2022-02,0.21428571428571427,0.0,0.7857142857142857,10,3.0
Brandenburg,2022-03,0.0,0.0,1.0,10,3.0
Brandenburg,2022-04,0.34444444444444444,0.0,0.6555555555555556,10,3.0
Brandenburg,2022-05,0.10752688172043011,0.0,0.8924731182795699,10,3.0
Brandenburg,2022-06,0.24444444444444444,0.0,0.7555555555555555,10,3.0
Brandenburg,2022-07,0.16129032258064516,0.0,0.8387096774193549,10,3.0
Brandenburg,2022-08,0.0,0.0,1.0,10,3.0
Brandenburg,2022-09,0.0,0.0,1.0,10,3.0
Brandenburg,2022-10,0.0,0.0,1.0,10,3.0
Brandenburg,2022-11,0.0,0.0,1.0,10,3.0
Brandenburg,2022-12,0.0,0.0,1.0,10,3.0
Brandenburg,2023-01,0.23655913978494625,0.0,0.7634408602150538,10,3.0
Brandenburg,2023-02,0.023809523809523808,0.0,0.9761904761904762,10,3.0
Brandenburg,2023-03,0.043010752688172046,0.0,0.956989247311828,10,3.0
Brandenburg,2023-04,0.06666666666666667,0.0,0.9333333333333333,10,3.0
Brandenburg,2023-05,0.12903225806451613,0.0,0.8709677419354839,10,3.0
Brandenburg,2023-06,0.0,0.0,1.0,10,3.0
Hessen,2022-01,0.20359281437125748,0.0,0.7964071856287425,27,27.0
Hessen,2022-02,0.13624338624338625,0.0,0.8637566137566137,27,27.0
Hessen,2022-03,0.14336917562724014,0.0,0.8566308243727598,27,27.0
Hessen,2022-04,0.0728395061728395,0.0,0.9271604938271605,27,27.0
Hessen,2022-05,0.10752688172043011,0.0,0.8924731182795699,27,27.0
Hessen,2022-06,0.043209876543209874,0.0,0.9567901234567902,27,27.0
Hessen,2022-07,0.043010752688172046,0.0,0.956989247311828,27,27.0
Hessen,2022-08,0.05017921146953405,0.0,0.9498207885304659,27,27.0
Hessen,2022-09,0.056790123456790124,0.0,0.9432098765432099,27,27.0
Hessen,2022-10,0.07646356033452807,0.0,0.9235364396654719,27,27.0
Hessen,2022-11,0.05308641975308642,0.0,0.9469135802469136,27,27.0
Hessen,2022-12,0.023894862604540025,0.0,0.97610513739546,27,27.0
Hessen,2023-01,0.11589008363201912,0.0,0.8841099163679809,27,27.0
Hessen,2023-02,0.06481481481481481,0.0,0.9351851851851852,27,27.0
Hessen,2023-03,0.06571087216248507,0.0,0.9342891278375149,27,27.0
Hessen,2023-04,0.08271604938271605,0.0,0.917283950617284,27,27.0
Hessen,2023-05,0.09199522102747909,0.0,0.9080047789725209,27,27.0
Hessen,2023-06,0.09135802469135802,0.0,0.908641975308642,27,27.0
Mecklenburg-Vorpommern,2022-01,0.3709677419354839,0.0,0.6290322580645161,10,4.0
Mecklenburg-Vorpommern,2022-02,0.38392857142857145,0.0,0.6160714285714286,10,4.0
Mecklenburg-Vorpommern,2022-03,0.25,0.0,0.75,10,4.0
Mecklenburg-Vorpommern,2022-04,0.30833333333333335,0.0,0.6916666666666667,10,4.0
Mecklenburg-Vorpommern,2022-05,0.6129032258064516,0.0,0.3870967741935484,10,4.0
Mecklenburg-Vorpommern,2022-06,0.30833333333333335,0.08333333333333333,0.6083333333333333,10,4.0
Mecklenburg-Vorpommern,2022-07,0.29838709677419356,0.04032258064516129,0.6612903225806451,10,4.0
Mecklenburg-Vorpommern,2022-08,0.20967741935483872,0.12903225806451613,0.6612903225806451,10,4.0
Mecklenburg-Vorpommern,2022-09,0.075,0.008333333333333333,0.9166666666666666,10,4.0
Mecklenburg-Vorpommern,2022-10,0.0,0.04032258064516129,0.9596774193548387,10,4.0
Mecklenburg-Vorpommern,2022-11,0.0,0.0,1.0,10,4.0
Mecklenburg-Vorpommern,2022-12,0.0,0.0,1.0,10,4.0
Mecklenburg-Vorpommern,2023-01,0.0,0.18548387096774194,0.8145161290322581,10,4.0
Mecklenburg-Vorpommern,2023-02,0.05357142857142857,0.25,0.6964285714285714,10,4.0
Mecklenburg-Vorpommern,2023-03,0.0,0.07258064516129033,0.9274193548387096,10,4.0
Mecklenburg-Vorpommern,2023-04,0.016666666666666666,0.25,0.7333333333333333,10,4.0
Mecklenburg-Vorpommern,2023-05,0.0,0.25,0.75,10,4.0
Mecklenburg-Vorpommern,2023-06,0.0,0.25,0.75,10,4.0
Niedersachsen,2022-01,0.27956989247311825,0.0,0.7204301075268817,29,9.0
Niedersachsen,2022-02,0.4722222222222222,0.0,0.5277777777777778,29,9.0
Niedersachsen,2022-03,0.5268817204301075,0.0,0.4731182795698925,29,9.0
Niedersachsen,2022-04,0.4962962962962963,0.011111111111111112,0.4925925925925926,29,9.0
Niedersachsen,2022-05,0.35842293906810035,0.0,0.6415770609318996,29,9.0
Niedersachsen,2022-06,0.32592592592592595,0.0,0.674074074074074,29,9.0
Niedersachsen,2022-07,0.1971326164874552,0.0,0.8028673835125448,29,9.0
Niedersachsen,2022-08,0.0931899641577061,0.0,0.9068100358422939,29,9.0
Niedersachsen,2022-09,0.1259259259259259,0.0,0.8740740740740741,29,9.0
Niedersachsen,2022-10,0.21505376344086022,0.0,0.7849462365591398,29,9.0
Niedersachsen,2022-11,0.26296296296296295,0.0,0.737037037037037,29,9.0
Niedersachsen,2022-12,0.12186379928315412,0.0,0.8781362007168458,29,9.0
Niedersachsen,2023-01,0.23297491039426524,0.0,0.7670250896057348,29,9.0
Niedersachsen,2023-02,0.3531746031746032,0.0,0.6468253968253969,29,9.0
Niedersachsen,2023-03,0.27956989247311825,0.0,0.7204301075268817,29,9.0
Niedersachsen,2023-04,0.25555555555555554,0.0,0.7444444444444445,29,9.0
Niedersachsen,2023-05,0.17562724014336917,0.0,0.8243727598566308,29,9.0
Niedersachsen,2023-06,0.2740740740740741,0.0,0.725925925925926,29,9.0
Nordrhein-Westfalen,2022-01,0.24893617021276596,0.0,0.7510638297872341,63,62.0
Nordrhein-Westfalen,2022-02,0.1723342939481268,0.0,0.8276657060518732,63,62.0
Nordrhein-Westfalen,2022-03,0.18262226847034338,0.0,0.8173777315296566,63,62.0
Nordrhein-Westfalen,2022-04,0.0989247311827957,0.0,0.9010752688172043,63,62.0
Nordrhein-Westfalen,2022-05,0.13267429760665972,0.0,0.8673257023933403,63,62.0
Nordrhein-Westfalen,2022-06,0.07473118279569893,0.0,0.9252688172043011,63,62.0
Nordrhein-Westfalen,2022-07,0.12747138397502603,0.0,0.872528616024974,63,62.0
Nordrhein-Westfalen,2022-08,0.09573361082206035,0.0,0.9042663891779397,63,62.0
Nordrhein-Westfalen,2022-09,0.11129032258064517,0.0,0.8887096774193548,63,62.0
Nordrhein-Westfalen,2022-10,0.14568158168574402,0.0,0.854318418314256,63,62.0
Nordrhein-Westfalen,2022-11,0.1403225806451613,0.0,0.8596774193548387,63,62.0
Nordrhein-Westfalen,2022-12,0.1347554630593132,0.0,0.8652445369406868,63,62.0
Nordrhein-Westfalen,2023-01,0.12539021852237253,0.0,0.8746097814776275,63,62.0
Nordrhein-Westfalen,2023-02,0.13767281105990783,0.0,0.8623271889400922,63,62.0
Nordrhein-Westfalen,2023-03,0.09417273673257023,0.0,0.9058272632674298,63,62.0
Nordrhein-Westfalen,2023-04,0.0973641742872512,0.0,0.9026358257127488,63,62.0
Nordrhein-Westfalen,2023-05,0.11758584807492195,0.0,0.882414151925078,63,62.0
Nordrhein-Westfalen,2023-06,0.11021505376344086,0.0,0.8897849462365591,63,62.0
Rheinland-Pfalz,2022-01,0.2070393374741201,0.010351966873706004,0.782608695652174,18,18.0
Rheinland-Pfalz,2022-02,0.08870967741935484,0.0,0.9112903225806451,18,18.0
Rheinland-Pfalz,2022-03,0.10215053763440861,0.0,0.8978494623655914,18,18.0
Rheinland-Pfalz,2022-04,0.09814814814814815,0.0,0.9018518518518519,18,18.0
Rheinland-Pfalz,2022-05,0.08064516129032258,0.0,0.9193548387096774,18,18.0
Rheinland-Pfalz,2022-06,0.04814814814814815,0.0,0.9518518518518518,18,18.0
Rheinland-Pfalz,2022-07,0.06272401433691756,0.0,0.9372759856630825,18,18.0
Rheinland-Pfalz,2022-08,0.06093189964157706,0.0,0.9390681003584229,18,18.0
Rheinland-Pfalz,2022-09,0.05185185185185185,0.0,0.9481481481481482,18,18.0
Rheinland-Pfalz,2022-10,0.1050656660412758,0.0,0.8949343339587242,18,18.0
Rheinland-Pfalz,2022-11,0.07450980392156863,0.0,0.9254901960784314,18,18.0
Rheinland-Pfalz,2022-12,0.05595667870036101,0.0,0.944043321299639,18,18.0
Rheinland-Pfalz,2023-01,0.043010752688172046,0.0,0.956989247311828,18,18.0
Rheinland-Pfalz,2023-02,0.05357142857142857,0.0,0.9464285714285714,18,18.0
Rheinland-Pfalz,2023-03,0.08064516129032258,0.0,0.9193548387096774,18,18.0
Rheinland-Pfalz,2023-04,0.06851851851851852,0.0,0.9314814814814815,18,18.0
Rheinland-Pfalz,2023-05,0.09498207885304659,0.0,0.9050179211469535,18,18.0
Rheinland-Pfalz,2023-06,0.1648148148148148,0.0,0.8351851851851851,18,18.0
Saarland,2022-01,0.1935483870967742,0.0,0.8064516129032258,3,3.0
Saarland,2022-02,0.35714285714285715,0.0,0.6428571428571429,3,3.0
Saarland,2022-03,0.3010752688172043,0.0,0.6989247311827957,3,3.0
Saarland,2022-04,0.2111111111111111,0.0,0.7888888888888889,3,3.0
Saarland,2022-05,0.5161290322580645,0.0,0.4838709677419355,3,3.0
Saarland,2022-06,0.25555555555555554,0.0,0.7444444444444445,3,3.0
Saarland,2022-07,0.13978494623655913,0.0,0.8602150537634409,3,3.0
Saarland,2022-08,0.10752688172043011,0.0,0.8924731182795699,3,3.0
Saarland,2022-09,0.07777777777777778,0.0,0.9222222222222223,3,3.0
Saarland,2022-10,0.0967741935483871,0.0,0.9032258064516129,3,3.0
Saarland,2022-11,0.05555555555555555,0.0,0.9444444444444444,3,3.0
Saarland,2022-12,0.41935483870967744,0.0,0.5806451612903226,3,3.0
Saarland,2023-01,0.15053763440860216,0.0,0.8494623655913979,3,3.0
Saarland,2023-02,0.39285714285714285,0.0,0.6071428571428571,3,3.0
Saarland,2023-03,0.3225806451612903,0.0,0.6774193548387096,3,3.0
Saarland,2023-04,0.05555555555555555,0.34444444444444444,0.6,3,3.0
Saarland,2023-05,0.3763440860215054,0.5591397849462365,0.06451612903225806,3,3.0
Saarland,2023-06,0.6,0.0,0.4,3,3.0
Sachsen,2022-01,0.7741935483870968,0.0,0.22580645161290322,19,5.0
Sachsen,2022-02,1.0,0.0,0.0,19,5.0
Sachsen,2022-03,0.8193548387096774,0.0,0.18064516129032257,19,5.0
Sachsen,2022-04,0.7733333333333333,0.0,0.22666666666666666,19,5.0
Sachsen,2022-05,0.6,0.0,0.4,19,5.0
Sachsen,2022-06,0.6,0.0,0.4,19,5.0
Sachsen,2022-07,0.6,0.0,0.4,19,5.0
Sachsen,2022-08,0.6709677419354839,0.0,0.32903225806451614,19,5.0
Sachsen,2022-09,0.17333333333333334,0.0,0.8266666666666667,19,5.0
Sachsen,2022-10,0.06451612903225806,0.0,0.9354838709677419,19,5.0
Sachsen,2022-11,0.24,0.0,0.76,19,5.0
Sachsen,2022-12,0.16774193548387098,0.0,0.832258064516129,19,5.0
Sachsen,2023-01,0.25806451612903225,0.0,0.7419354838709677,19,5.0
Sachsen,2023-02,0.4,0.0,0.6,19,5.0
Sachsen,2023-03,0.32903225806451614,0.0,0.6709677419354839,19,5.0
Sachsen,2023-04,0.3,0.0,0.7,19,5.0
Sachsen,2023-05,0.2645161290322581,0.05806451612903226,0.6774193548387096,19,5.0
Sachsen,2023-06,0.0,0.30666666666666664,0.6933333333333334,19,5.0
Sachsen-Anhalt,2022-01,0.6,0.0,0.4,17,5.0
Sachsen-Anhalt,2022-02,0.6714285714285714,0.0,0.32857142857142857,17,5.0
Sachsen-Anhalt,2022-03,0.6967741935483871,0.0,0.3032258064516129,17,5.0
Sachsen-Anhalt,2022-04,0.4533333333333333,0.0,0.5466666666666666,17,5.0
Sachsen-Anhalt,2022-05,0.3225806451612903,0.04516129032258064,0.632258064516129,17,5.0
Sachsen-Anhalt,2022-06,0.2,0.2,0.6,17,5.0
Sachsen-Anhalt,2022-07,0.11612903225806452,0.2,0.6838709677419355,17,5.0
Sachsen-Anhalt,2022-08,0.08387096774193549,0.05806451612903226,0.8580645161290322,17,5.0
Sachsen-Anhalt,2022-09,0.1,0.0,0.9,17,5.0
Sachsen-Anhalt,2022-10,0.0,0.0,1.0,17,5.0
Sachsen-Anhalt,2022-11,0.25333333333333335,0.0,0.7466666666666667,17,5.0
Sachsen-Anhalt,2022-12,0.25806451612903225,0.0,0.7419354838709677,17,5.0
Sachsen-Anhalt,2023-01,0.4258064516129032,0.0,0.5741935483870968,17,5.0
Sachsen-Anhalt,2023-02,0.21428571428571427,0.0,0.7857142857142857,17,5.0
Sachsen-Anhalt,2023-03,0.36774193548387096,0.0,0.632258064516129,17,5.0
Sachsen-Anhalt,2023-04,0.4,0.0,0.6,17,5.0
Sachsen-Anhalt,2023-05,0.47096774193548385,0.05806451612903226,0.47096774193548385,17,5.0
Sachsen-Anhalt,2023-06,0.23333333333333334,0.4,0.36666666666666664,17,5.0
Schleswig-Holstein,2022-01,0.0576036866359447,0.059907834101382486,0.8824884792626728,18,14.0
Schleswig-Holstein,2022-02,0.10714285714285714,0.04081632653061224,0.8520408163265306,18,14.0
Schleswig-Holstein,2022-03,0.11981566820276497,0.0,0.880184331797235,18,14.0
Schleswig-Holstein,2022-04,0.07142857142857142,0.0,0.9285714285714286,18,14.0
Schleswig-Holstein,2022-05,0.08294930875576037,0.0,0.9170506912442397,18,14.0
Schleswig-Holstein,2022-06,0.02619047619047619,0.0,0.9738095238095238,18,14.0
Schleswig-Holstein,2022-07,0.046189376443418015,0.0,0.953810623556582,18,14.0
Schleswig-Holstein,2022-08,0.027649769585253458,0.0,0.9723502304147466,18,14.0
Schleswig-Holstein,2022-09,0.04047619047619048,0.0,0.9595238095238096,18,14.0
Schleswig-Holstein,2022-10,0.055299539170506916,0.0,0.9447004608294931,18,14.0
Schleswig-Holstein,2022-11,0.06428571428571428,0.004761904761904762,0.930952380952381,18,14.0
Schleswig-Holstein,2022-12,0.027649769585253458,0.0,0.9723502304147466,18,14.0
Schleswig-Holstein,2023-01,0.02534562211981567,0.03686635944700461,0.9377880184331797,18,14.0
Schleswig-Holstein,2023-02,0.06377551020408163,0.002551020408163265,0.9336734693877551,18,14.0
Schleswig-Holstein,2023-03,0.04608294930875576,0.0,0.9539170506912442,18,14.0
Schleswig-Holstein,2023-04,0.02857142857142857,0.007142857142857143,0.9642857142857143,18,14.0
Schleswig-Holstein,2023-05,0.059907834101382486,0.002304147465437788,0.9377880184331797,18,14.0
Schleswig-Holstein,2023-06,0.02619047619047619,0.0,0.9738095238095238,18,14.0
Thüringen,2022-01,0.49032258064516127,0.0,0.5096774193548387,12,5.0
Thüringen,2022-02,0.2357142857142857,0.0,0.7642857142857142,12,5.0
Thüringen,2022-03,0.0967741935483871,0.0,0.9032258064516129,12,5.0
Thüringen,2022-04,0.31333333333333335,0.08,0.6066666666666667,12,5.0
Thüringen,2022-05,0.4,0.0,0.6,12,5.0
