shelter_name,shelter_id,bundesland,bez,gen,latitude,longitude,Aufnahme möglich für Frauen mit bis zu einem Kind,Aufnahme möglich für Frauen mit mehreren Kindern,Aufnahme möglich ohne detaillierte Angabe,Keine Aufnahme möglich,Platz für Frauen ohne Kinder,keine Angabe,einrichtungsart,Gehbehinderung,Hörbehinderung/Taubheit,Sehbehinderung/Blindheit,Suchtmittelabhängigkeit
Autonomes Frauenhaus Heilbronn,2259,Baden-Württemberg,Stadtkreis,Heilbronn,49.131106886991,9.228034832273,0.0,0.016351118760757316,0.0,0.9096385542168675,0.0,0.07401032702237521,Frauenhaus,False,False,False,False
Autonomes Frauenhaus Itzehoe,2193,Schleswig-Holstein,Kreis,Steinburg,53.9242344,9.5100452,0.012048192771084338,0.0008605851979345956,0.0051635111876075735,0.9819277108433735,0.0,0.0,Frauenhaus,True,True,True,False
Autonomes Frauenhaus Kempten (Allgäu),2024,Bayern,Kreisfreie Stadt,Kempten (Allgäu),47.762382099999996,10.3245689,0.0,0.0,0.0,1.0,0.0,0.0,Frauenhaus,False,False,False,False
Autonomes Frauenhaus Kreis Plön,2034,Schleswig-Holstein,Kreis,Plön,54.232749761427,10.279783840293,0.018072289156626505,0.05938037865748709,0.00946643717728055,0.8666092943201377,0.0025817555938037868,0.04388984509466437,Frauenhaus,True,False,False,False
Autonomes Frauenhaus Leverkusen,2151,Nordrhein-Westfalen,Kreisfreie Stadt,Leverkusen,51.036439483933,6.993204651605,0.0034423407917383822,0.0017211703958691911,0.0025817555938037868,0.9853700516351118,0.0068846815834767644,0.0,Frauenhaus,False,False,False,False
Autonomes Frauenhaus Lörrach,2075,Baden-Württemberg,Landkreis,Lörrach,47.602006174985,7.6622878822819995,0.01721170395869191,0.05938037865748709,0.06282271944922548,0.4139414802065404,0.0,0.44664371772805506,Frauenhaus,False,False,False,False
Autonomes Frauenhaus Lübeck,2249,Schleswig-Holstein,Kreisfreie Stadt,Lübeck,53.867549231603,10.687671111421,0.0,0.0,0.0,1.0,0.0,0.0,Frauenhaus,True,False,False,False
Autonomes Frauenhaus Lüneburg,2066,Niedersachsen,Landkreis,Lüneburg,53.2497728,10.4197721,0.0,0.0017211703958691911,0.0,0.9475043029259896,0.0189328743545611,0.031841652323580036,Frauenhaus,False,False,False,False
Autonomes Frauenhaus Marburg,2025,Hessen,Landkreis,Marburg-Biedenkopf,50.8117327,8.7757742,0.0017211703958691911,0.028399311531841654,0.08347676419965576,0.8864027538726333,0.0,0.0,Frauenhaus,False,False,False,False
Autonomes Frauenhaus Memmingen,2069,Bayern,Kreisfreie Stadt,Memmingen,47.9848507,10.1870278,0.013769363166953529,0.0068846815834767644,0.010327022375215147,0.03098106712564544,0.03614457831325301,0.9018932874354562,Frauenhaus,False,False,False,False
Autonomes Frauenhaus Münster,2141,Nordrhein-Westfalen,Kreisfreie Stadt,Münster,51.956729697633,7.632398512595,0.0017211703958691911,0.04130808950086059,0.0,0.9569707401032702,0.0,0.0,Frauenhaus,False,False,False,False
Autonomes Frauenhaus Neumünster,2063,Schleswig-Holstein,Kreisfreie Stadt,Neumünster,54.074247318196,9.984462815518,0.00774526678141136,0.025817555938037865,0.0,0.9543889845094664,0.012048192771084338,0.0,Frauenhaus,True,False,False,False
Autonomes Frauenhaus Oldenburg e.V.,2136,Niedersachsen,Kreisfreie Stadt,Oldenburg (Oldb),53.139855192327,8.227910833021,0.0,0.0,0.0,0.0,0.05249569707401033,0.9475043029259896,Frauenhaus,True,False,False,False
Autonomes Frauenhaus Osnabrück,2089,Niedersachsen,Kreisfreie Stadt,Osnabrück,52.274435951938,8.04727121527,0.024096385542168676,0.0051635111876075735,0.0,0.9629948364888123,0.00774526678141136,0.0,Frauenhaus,False,True,False,False
Autonomes Frauenhaus Regensburg,2225,Bayern,Kreisfreie Stadt,Regensburg,48.98322105,12.151901371455,0.0,0.0,0.24010327022375216,0.5542168674698795,0.0,0.20567986230636834,Frauenhaus,True,False,False,False
Autonomes Frauenhaus Rheydt,2048,Nordrhein-Westfalen,Kreisfreie Stadt,Mönchengladbach,51.164802443583,6.446487203488,0.0,0.0017211703958691911,0.0008605851979345956,0.9836488812392427,0.013769363166953529,0.0,Frauenhaus,False,False,False,False
Autonomes Frauenhaus Rostock,2163,Mecklenburg-Vorpommern,Landkreis,Rostock,54.052138471041,12.10428681682,0.0,0.024096385542168676,0.0,0.9208261617900172,0.055077452667814115,0.0,Frauenhaus,False,False,False,False
Autonomes Frauenhaus Stuttgart,2078,Baden-Württemberg,Stadtkreis,Stuttgart,48.763984707357,9.174786993125,0.030120481927710843,0.004302925989672977,0.0189328743545611,0.9466437177280551,0.0,0.0,Frauenhaus,False,False,False,False
