bundesland,monthyear,Aufnahme möglich für Frauen mit bis zu einem Kind,Aufnahme möglich für Frauen mit mehreren Kindern,Aufnahme möglich ohne detaillierte Angabe,Keine Aufnahme möglich,Platz für Frauen ohne Kinder,keine Angabe,Gesamtzahl der Frauenhäuser,"Anzahl der Frauenhäuser, die wir analysieren könnten"
Bayern,2022-10,0.0,0.03678551216751556,0.09790605546123374,0.7990945104697227,0.0520656479909451,0.011318619128466328,37,19
Bayern,2022-11,0.060233918128654966,0.033918128654970764,0.0391812865497076,0.7614035087719299,0.05263157894736842,0.05263157894736842,37,19
Bayern,2022-12,0.013729977116704805,0.04977116704805492,0.02231121281464531,0.8615560640732266,0.0,0.05263157894736842,37,19
Brandenburg,2022-01,0.059782608695652176,0.3641304347826087,0.16032608695652173,0.4157608695652174,0.0,0.0,10,4
Brandenburg,2022-02,0.0,0.40625,0.0,0.590625,0.003125,0.0,10,4
Brandenburg,2022-03,0.0,0.25,0.0,0.75,0.0,0.0,10,4
Brandenburg,2022-04,0.22058823529411764,0.2735294117647059,0.0,0.5058823529411764,0.0,0.0,10,4
Brandenburg,2022-05,0.03333333333333333,0.2833333333333333,0.0,0.6833333333333333,0.0,0.0,10,4
Brandenburg,2022-06,0.0,0.4323529411764706,0.0,0.5676470588235294,0.0,0.0,10,4
Brandenburg,2022-07,0.21467391304347824,0.14945652173913043,0.0,0.6358695652173914,0.0,0.0,10,4
Brandenburg,2022-08,0.25,0.0,0.0,0.75,0.0,0.0,10,4
Brandenburg,2022-09,0.25,0.0,0.0,0.75,0.0,0.0,10,4
Brandenburg,2022-10,0.1935483870967742,0.056451612903225805,0.0,0.75,0.0,0.0,10,4
Brandenburg,2022-11,0.011111111111111112,0.05277777777777778,0.0,0.75,0.0,0.18611111111111112,10,4
Brandenburg,2022-12,0.0,0.0,0.0,0.75,0.0,0.25,10,4
Hessen,2022-01,0.010869565217391304,0.04911433172302738,0.09098228663446054,0.8240740740740741,0.02214170692431562,0.0,27,27
Hessen,2022-02,0.013425925925925926,0.04953703703703703,0.037037037037037035,0.8949074074074075,0.005092592592592593,0.0,27,27
Hessen,2022-03,0.026048026048026047,0.042328042328042326,0.03540903540903541,0.8897028897028897,0.006512006512006513,0.0,27,27
Hessen,2022-04,0.0130718954248366,0.017429193899782133,0.004357298474945533,0.9516339869281046,0.013507625272331155,0.0,27,27
Hessen,2022-05,0.00905349794238683,0.048559670781893,0.0069958847736625515,0.9312757201646091,0.004115226337448559,0.0,27,27
Hessen,2022-06,0.003485838779956427,0.009150326797385621,0.00392156862745098,0.9777777777777777,0.005664488017429194,0.0,27,27
Hessen,2022-07,0.0,0.015297906602254429,0.007648953301127214,0.9746376811594203,0.0024154589371980675,0.0,27,27
Hessen,2022-08,0.004477004477004477,0.017094017094017096,0.008954008954008955,0.969067969067969,0.00040700040700040704,0.0,27,27
Hessen,2022-09,0.005409904286308781,0.005826050769870994,0.010403662089055347,0.9700374531835206,0.008322929671244277,0.0,27,27
Hessen,2022-10,0.01473516527279968,0.024691358024691357,0.013540422142572681,0.9418558343289526,0.005177220230983671,0.0,27,27
Hessen,2022-11,0.004526748971193416,0.0205761316872428,0.0016460905349794238,0.9699588477366256,0.0032921810699588472,0.0,27,27
Hessen,2022-12,0.00040257648953301127,0.008856682769726247,0.005233494363929147,0.9855072463768116,0.0,0.0,27,27
Mecklenburg-Vorpommern,2022-01,0.0,0.14565217391304347,0.2,0.5456521739130434,0.09130434782608696,0.0,9,5
Mecklenburg-Vorpommern,2022-02,0.0125,0.145,0.2,0.5875,0.05500000000000001,0.0,9,5
Mecklenburg-Vorpommern,2022-03,0.05494505494505495,0.0,0.2,0.7450549450549451,0.0,0.0,9,5
Mecklenburg-Vorpommern,2022-04,0.0,0.0,0.2447058823529412,0.7552941176470588,0.0,0.0,9,5
Mecklenburg-Vorpommern,2022-05,0.07111111111111111,0.11555555555555555,0.2911111111111111,0.5155555555555555,0.006666666666666666,0.0,9,5
Mecklenburg-Vorpommern,2022-06,0.01411764705882353,0.007058823529411765,0.18823529411764706,0.7011764705882353,0.007058823529411765,0.08235294117647059,9,5
Mecklenburg-Vorpommern,2022-07,0.002173913043478261,0.01956521739130435,0.18043478260869567,0.7130434782608696,0.04565217391304348,0.0391304347826087,9,5
Mecklenburg-Vorpommern,2022-08,0.002197802197802198,0.03736263736263736,0.024175824175824177,0.7494505494505495,0.07912087912087912,0.10769230769230768,9,5
Mecklenburg-Vorpommern,2022-09,0.0,0.006741573033707865,0.0,0.9280898876404494,0.04719101123595505,0.01797752808988764,9,5
Mecklenburg-Vorpommern,2022-10,0.0,0.0,0.0,0.9655913978494624,0.0,0.034408602150537634,9,5
Mecklenburg-Vorpommern,2022-11,0.0,0.0,0.0,1.0,0.0,0.0,9,5
Mecklenburg-Vorpommern,2022-12,0.0,0.0,0.0,1.0,0.0,0.0,9,5
Niedersachsen,2022-01,0.021739130434782608,0.13478260869565217,0.06521739130434782,0.7695652173913043,0.008695652173913044,0.0,24,10
Niedersachsen,2022-02,0.057499999999999996,0.185,0.17250000000000001,0.585,0.0,0.0,24,10
Niedersachsen,2022-03,0.04725274725274725,0.2692307692307692,0.0989010989010989,0.5406593406593407,0.03956043956043956,0.004395604395604396,24,10
Niedersachsen,2022-04,0.09058823529411765,0.18823529411764706,0.08941176470588236,0.556470588235294,0.06352941176470588,0.011764705882352941,24,10
Niedersachsen,2022-05,0.0,0.18222222222222223,0.1,0.6811111111111111,0.03666666666666667,0.0,24,10
Niedersachsen,2022-06,0.010588235294117647,0.1,0.15411764705882353,0.7223529411764706,0.012941176470588234,0.0,24,10
Niedersachsen,2022-07,0.0,0.08043478260869566,0.08152173913043478,0.826086956521739,0.011956521739130435,0.0,24,10
Niedersachsen,2022-08,0.0,0.001098901098901099,0.07362637362637363,0.923076923076923,0.002197802197802198,0.0,24,10
Niedersachsen,2022-09,0.0,0.02696629213483146,0.06292134831460675,0.902247191011236,0.007865168539325843,0.0,24,10
Niedersachsen,2022-10,0.004301075268817204,0.034408602150537634,0.06559139784946236,0.8172043010752688,0.07849462365591398,0.0,24,10
