shelter_name,monthyear,Aufnahme möglich,keine Angabe,keine Aufnahme möglich,bundesland,kreis
Frauenhaus Erbach,2022-01,0.0,0.0,1.0,Hessen,Landkreis Odenwaldkreis
Frauenhaus Erding,2022-01,1.0,0.0,0.0,Bayern,Landkreis Erding
Frauenhaus Erfurt,2022-01,0.22580645161290322,0.0,0.7741935483870968,Thüringen,Kreisfreie Stadt Erfurt
Frauenhaus Espelkamp,2022-01,1.0,0.0,0.0,Nordrhein-Westfalen,Kreis Minden-Lübbecke
Frauenhaus Essen,2022-01,0.0,0.0,1.0,Nordrhein-Westfalen,Kreisfreie Stadt Essen
Frauenhaus Esslingen,2022-01,0.7741935483870968,0.0,0.22580645161290322,Baden-Württemberg,Landkreis Esslingen
Frauenhaus Flensburg,2022-01,0.0,0.0,1.0,Schleswig-Holstein,Kreisfreie Stadt Flensburg
Frauenhaus Frankenthal,2022-01,0.0,0.0,1.0,Rheinland-Pfalz,Kreisfreie Stadt Frankenthal (Pfalz)
Frauenhaus Frankfurt (Oder),2022-01,0.0,0.0,1.0,Brandenburg,Kreisfreie Stadt Frankfurt (Oder)
Frauenhaus Freudenstadt,2022-01,0.0,0.0,1.0,Baden-Württemberg,Landkreis Freudenstadt
Frauenhaus Fulda,2022-01,0.0,0.0,1.0,Hessen,Landkreis Fulda
Frauenhaus Fürth,2022-01,0.0,0.0,1.0,Bayern,Kreisfreie Stadt Fürth
Frauenhaus Gelsenkirchen,2022-01,0.3548387096774194,0.0,0.6451612903225806,Nordrhein-Westfalen,Kreisfreie Stadt Gelsenkirchen
Frauenhaus Gotha,2022-01,0.5806451612903226,0.0,0.41935483870967744,Thüringen,Landkreis Gotha
Frauenhaus Gütersloh,2022-01,0.16129032258064516,0.0,0.8387096774193549,Nordrhein-Westfalen,Kreis Gütersloh
Frauenhaus Hameln e.V.,2022-01,0.0967741935483871,0.0,0.9032258064516129,Niedersachsen,Landkreis Hameln-Pyrmont
Frauenhaus Hamm,2022-01,0.3548387096774194,0.0,0.6451612903225806,Nordrhein-Westfalen,Kreisfreie Stadt Hamm
Frauenhaus Hanau,2022-01,0.0,0.0,1.0,Hessen,Landkreis Main-Kinzig-Kreis
Frauenhaus Hannover - Frauen helfen Frauen e.V.,2022-01,0.0,0.0,1.0,Niedersachsen,Landkreis Region Hannover
Frauenhaus Hartengrube,2022-01,0.0,0.0,1.0,Schleswig-Holstein,Kreisfreie Stadt Lübeck
Frauenhaus Herford,2022-01,0.1935483870967742,0.0,0.8064516129032258,Nordrhein-Westfalen,Kreis Herford
Frauenhaus Herne,2022-01,0.1935483870967742,0.0,0.8064516129032258,Nordrhein-Westfalen,Kreisfreie Stadt Herne
Frauenhaus Herten,2022-01,0.12903225806451613,0.0,0.8709677419354839,Nordrhein-Westfalen,Kreisfreie Stadt Gelsenkirchen
Frauenhaus Hildesheim e.V.,2022-01,0.25806451612903225,0.0,0.7419354838709677,Niedersachsen,Landkreis Hildesheim
Frauenhaus Hochfranken,2022-01,1.0,0.0,0.0,Bayern,Landkreis Wunsiedel i. Fichtelgebirge
Frauenhaus Idar-Oberstein,2022-01,0.6451612903225806,0.0,0.3548387096774194,Rheinland-Pfalz,Landkreis Birkenfeld
Frauenhaus Kassel,2022-01,0.0,0.0,1.0,Hessen,Kreisfreie Stadt Kassel
Frauenhaus Kiel,2022-01,0.0,0.3225806451612903,0.6774193548387096,Schleswig-Holstein,Kreisfreie Stadt Kiel
Frauenhaus Kirchheim,2022-01,0.3225806451612903,0.0,0.6774193548387096,Baden-Württemberg,Landkreis Esslingen
Frauenhaus Koblenz,2022-01,0.0,0.0,0.8709677419354839,Rheinland-Pfalz,Kreisfreie Stadt Koblenz
Frauenhaus Landau,2022-01,0.0,0.0,1.0,Rheinland-Pfalz,Kreisfreie Stadt Landau in der Pfalz
Frauenhaus Lila Villa e.V.,2022-01,0.12903225806451613,0.0,0.7419354838709677,Rheinland-Pfalz,Landkreis Bad Dürkheim
Frauenhaus Lippe,2022-01,0.5161290322580645,0.0,0.4838709677419355,Nordrhein-Westfalen,Kreis Lippe
Frauenhaus Ludwigsburg,2022-01,0.1935483870967742,0.0,0.8064516129032258,Baden-Württemberg,Landkreis Ludwigsburg
Frauenhaus Ludwigshafen,2022-01,0.0,0.16129032258064516,0.7096774193548387,Rheinland-Pfalz,Kreisfreie Stadt Ludwigshafen am Rhein
Frauenhaus Mainz,2022-01,0.0,0.0,0.8709677419354839,Rheinland-Pfalz,Kreisfreie Stadt Mainz
Frauenhaus Mönchengladbach,2022-01,0.4838709677419355,0.0,0.5161290322580645,Nordrhein-Westfalen,Kreisfreie Stadt Mönchengladbach
Frauenhaus Neunkirchen,2022-01,0.5806451612903226,0.0,0.41935483870967744,Saarland,Landkreis Neunkirchen
Frauenhaus Neustadt,2022-01,0.0,0.0,1.0,Rheinland-Pfalz,Kreisfreie Stadt Neustadt an der Weinstraße
Frauenhaus Nürnberg,2022-01,0.0,0.0,1.0,Bayern,Kreisfreie Stadt Nürnberg
Frauenhaus Oberhausen,2022-01,0.0,0.0,1.0,Nordrhein-Westfalen,Kreisfreie Stadt Oberhausen
Frauenhaus Oberursel,2022-01,0.1935483870967742,0.0,0.8064516129032258,Hessen,Landkreis Hochtaunuskreis
Frauenhaus Olpe,2022-01,0.7741935483870968,0.0,0.22580645161290322,Nordrhein-Westfalen,Kreis Olpe
Frauenhaus Ostholstein,2022-01,0.03225806451612903,0.5161290322580645,0.45161290322580644,Schleswig-Holstein,Kreis Ostholstein
Frauenhaus Paderborn,2022-01,0.0,0.0,1.0,Nordrhein-Westfalen,Kreis Paderborn
Frauenhaus Pinneberg,2022-01,0.0,0.0,1.0,Schleswig-Holstein,Kreis Pinneberg
Frauenhaus Pirmasens,2022-01,0.3225806451612903,0.0,0.3870967741935484,Rheinland-Pfalz,Kreisfreie Stadt Pirmasens
Frauenhaus Recklinghausen e.V.,2022-01,0.12903225806451613,0.0,0.8709677419354839,Nordrhein-Westfalen,Kreis Recklinghausen
Frauenhaus Remscheid,2022-01,0.0,0.0,1.0,Nordrhein-Westfalen,Kreis Rheinisch-Bergischer Kreis
Frauenhaus Rendsburg gGmbH,2022-01,0.12903225806451613,0.0,0.8709677419354839,Schleswig-Holstein,Kreis Rendsburg-Eckernförde
Frauenhaus Rhein - Erftkreis e.V.,2022-01,0.41935483870967744,0.0,0.5806451612903226,Nordrhein-Westfalen,Kreis Rhein-Erft-Kreis
Frauenhaus Rheine,2022-01,0.6129032258064516,0.0,0.3870967741935484,Nordrhein-Westfalen,Kreis Steinfurt
Frauenhaus Rodgau,2022-01,0.0,0.0,1.0,Hessen,Landkreis Offenbach
Frauenhaus Rosenheim/Traunstein,2022-01,1.0,0.0,0.0,Bayern,Kreisfreie Stadt Rosenheim
Frauenhaus Saarbrücken,2022-01,0.0,0.0,1.0,Saarland,Landkreis Regionalverband Saarbrücken
Frauenhaus Saarlouis,2022-01,0.0,0.0,1.0,Saarland,Landkreis Saarlouis
Frauenhaus Schwabach,2022-01,0.0,0.0,1.0,Bayern,Kreisfreie Stadt Schwabach
Frauenhaus Schwarzenbek,2022-01,0.0,0.0,1.0,Schleswig-Holstein,Kreis Herzogtum Lauenburg
Frauenhaus Siegen,2022-01,0.4838709677419355,0.0,0.5161290322580645,Nordrhein-Westfalen,Kreis Siegen-Wittgenstein
Frauenhaus Singen,2022-01,0.3548387096774194,0.0,0.6451612903225806,Baden-Württemberg,Landkreis Konstanz
Frauenhaus SkF,2022-01,0.0,0.0,1.0,Bayern,Kreisfreie Stadt Würzburg
Frauenhaus SkF Karlsruhe,2022-01,0.7096774193548387,0.0,0.2903225806451613,Baden-Württemberg,Stadtkreis Karlsruhe
Frauenhaus Soest,2022-01,0.41935483870967744,0.0,0.5806451612903226,Nordrhein-Westfalen,Kreis Soest
Frauenhaus Sondershausen,2022-01,1.0,0.0,0.0,Thüringen,Landkreis Kyffhäuserkreis
Frauenhaus Sozialdienst katholischer Frauen e.V.,2022-01,0.25806451612903225,0.0,0.7419354838709677,Hessen,Landkreis Gießen
Frauenhaus Speyer,2022-01,0.12903225806451613,0.0,0.8709677419354839,Rheinland-Pfalz,Kreisfreie Stadt Speyer
Frauenhaus Stormarn,2022-01,0.12903225806451613,0.0,0.8709677419354839,Schleswig-Holstein,Kreis Stormarn
Frauenhaus Telgte,2022-01,0.03225806451612903,0.0,0.967741935483871,Nordrhein-Westfalen,Kreis Warendorf
Frauenhaus Unna,2022-01,0.0,0.0,1.0,Nordrhein-Westfalen,Kreis Unna
Frauenhaus Warendorf,2022-01,0.0967741935483871,0.0,0.9032258064516129,Nordrhein-Westfalen,Kreis Warendorf
Frauenhaus Weiden,2022-01,1.0,0.0,0.0,Bayern,Kreisfreie Stadt Weiden i.d. OPf.
